id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365;number_of_reviews_ltm;license
26471489;MY LX FLAT Castle Alfama Studio 1;17125483;Patrícia;Lisboa;Santa Maria Maior;387.128;-913.109;Entire home/apt;56;2;147;17.11.2021;Mrz 52;27;351;35;62247/AL
26483572;Room in the tonic Flat;39465095;Chez Tuga Unipessoal;Lisboa;So Vicente;3.871.846;-912.333;Private room;36;1;3;18.10.2018;0.08;8;0;0;74370/AL
26490556;Vale Villa Woodhouse 2;62511347;Paulo;Mafra;Santo Isidoro;3.901.189;-940.348;Entire home/apt;100;5;3;25.08.2019;0.09;4;192;0;8170/AL
26493895;Guest House Amoreiras Quarto nº1;199249021;Pedro;Lisboa;Campolide;3.872.553;-916.337;Private room;27;1;25;10.11.2021;0.84;6;316;23;76643/Al
26499079;Résidence privée avec piscine et court de tennis;23969266;Cécilia;Cascais;Alcabideche;3.873.285;-936.681;Entire home/apt;130;3;11;23.08.2020;0.27;2;100;0;Exempt
26511307;room in center of lisbon;16564280;Nazare;Lisboa;Arroios;3.873.213;-913.479;Private room;26;2;1;20.09.2018;0.03;1;6;0;Exempt
26512288;2 rooms center of Lisbon: near Mosteiro Jeronimos;193291016;José;Oeiras;Algs, Linda-a-Velha e Cruz Quebrada-Dafundo;3.870.188;-924.039;Private room;70;2;1;03.07.2018;0.02;1;363;0;Exempt
26515465;Erasmus Corner (11) - Capotes Brancos;197273813;José Carlos;Lisboa;Misericrdia;3.871.397;-91.446;Private room;32;2;20;27.08.2021;0.48;9;0;5;40763/AL
26516833;Apartamento IST - Lisboa;140243657;Ricardo;Lisboa;Beato;3.873.548;-9.122;Entire home/apt;91;1;19;24.10.2021;0.46;14;339;4;87230/AL
26517714;Spacious flat near Av. da Liberdade I;3953109;Feels Like Home;Lisboa;Santo Antnio;3.872.181;-9.149;Entire home/apt;191;3;4;03.08.2021;0.10;281;0;2;75699/AL
26519261;Apartamento familiar;181157277;Maria;Cascais;So Domingos de Rana;3.869.717;-935.234;Entire home/apt;55;1;15;06.11.2018;0.36;1;100;0;77425/AL
26519326;Romantic Challet + Studio  in Old Town Sintra;60386806;Cláudia;Sintra;S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim;3.879.965;-939.362;Entire home/apt;190;2;3;16.05.2021;0.11;6;75;1;30561/AL
26519544;Casa férias Magoito-Sintra;158802550;Rodrigo Pinheiro;Sintra;So Joo das Lampas e Terrugem;3.886.755;-942.919;Private room;40;1;65;01.01.2021;Jan 57;1;343;1;51985940/la
26521167;Cascais Rooftop Apartment;3953109;Feels Like Home;Cascais;Cascais e Estoril;386.985;-943.852;Entire home/apt;106;3;17;22.11.2021;0.42;281;300;4;74611/AL
26523406;Experience Central Lisbon from a Charming Apartment;199483468;Ines;Lisboa;Penha de Frana;3.872.355;-913.032;Entire home/apt;62;3;82;22.11.2021;02. Jan;1;303;20;75196/AL
26525162;Duplex with private roof top, elevator city center;10156178;Susana;Lisboa;Penha de Frana;3.872.592;-912.589;Entire home/apt;80;3;2;08.11.2018;0.05;2;298;0;74642/AL
